ID студента,Оценка (из 20)
202225017,4
202225009,8
202225007,10
202225018,10
202225122,10
202225002,9
202225013,9
202123925,9
202225015,9
202225010,7
202225012,8
202225102,6
202225107,9
202225019,10
202225008,10
202225115,10
202225110,9
202225117,10
202225011,9
202225124,8
202225025,7
202225001,9
202225114,8
22225023,10
202225113,10
202225020,9
202225111,10
202225123,10
202225121,10
202225003,10
202225104,7
202225022,10
202225005,10
202225109,9
202225116,8
202225021,10
202225014,10
202225106,8
202225024,4
202225118,10
202225004,9
202225103,9
202225108,6
202123819,8
202123818,10
202123904,7
202123820,10
202123918,5
202123825,8
202123824,6
202123804,10
202123914,9
202024025,10
202123822,5
202123902,8
202123815,6
202123830,9
202123813,6
202123920,10
202123811,6
202123805,7
202123903,6
202123821,9
202123910,8
202123111,10
202123929,5
202123912,9
202123909,10
202123801,8
202123906,5
202123803,10
202123816,8
202123907,6
202123924,8
202123926,8
202123908,10
202123911,6
202123828,9
202123921,10
202123919,6
202123812,9
202123916,9
202123905,5
202123807,10
202123802,10
202123917,9
202123809,9
202123930,9
202024014,9
202123923,10
202123817,8
202123922,8
202123808,7
202123810,8
202123806,6
202123915,9
